system:index,date,sum_of_lights,.geo
20140101,2014-01-01,12003.353311516374,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140201,2014-02-01,9152.483242321714,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140301,2014-03-01,8426.006627820401,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140401,2014-04-01,7178.880203183491,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140501,2014-05-01,6009.0939269832525,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140601,2014-06-01,5236.683273184533,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140701,2014-07-01,5512.367035343601,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140801,2014-08-01,3851.823836548772,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140901,2014-09-01,6449.684902435542,"{""type"":""MultiPoint"",""coordinates"":[]}"
20141001,2014-10-01,7079.739382950114,"{""type"":""MultiPoint"",""coordinates"":[]}"
20141101,2014-11-01,7944.355858464086,"{""type"":""MultiPoint"",""coordinates"":[]}"
20141201,2014-12-01,11248.350714991142,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150101,2015-01-01,9922.278131704936,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150201,2015-02-01,8137.4123506402275,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150301,2015-03-01,7532.70383736608,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150401,2015-04-01,6531.405361651439,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150501,2015-05-01,5151.911998497387,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150601,2015-06-01,4715.396331876049,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150701,2015-07-01,3929.127861718804,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150801,2015-08-01,3507.529694949469,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150901,2015-09-01,5486.026173407305,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151001,2015-10-01,6128.607340654905,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151101,2015-11-01,7331.416032601923,"{""type"":""MultiPoint"",""coordinates"":[]}"
20151201,2015-12-01,10905.494357502457,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160101,2016-01-01,8773.33375764606,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160201,2016-02-01,9882.213100147716,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160301,2016-03-01,7279.0605975255085,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160401,2016-04-01,7169.866040317334,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160501,2016-05-01,5403.210717541213,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160601,2016-06-01,5603.46717103638,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160701,2016-07-01,3869.1887584302935,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160801,2016-08-01,3636.4977816404676,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160901,2016-09-01,4761.270983426709,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161001,2016-10-01,6395.337080405506,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161101,2016-11-01,7519.521416123532,"{""type"":""MultiPoint"",""coordinates"":[]}"
20161201,2016-12-01,9210.0885116278,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170101,2017-01-01,8259.52584578056,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170201,2017-02-01,8623.41666177394,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170301,2017-03-01,7970.482913543898,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170401,2017-04-01,6294.3077600850775,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170501,2017-05-01,5435.953835986175,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170601,2017-06-01,5710.570751868744,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170701,2017-07-01,3395.4465947781123,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170801,2017-08-01,4147.147135899814,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170901,2017-09-01,6388.456771286325,"{""type"":""MultiPoint"",""coordinates"":[]}"
20171001,2017-10-01,6570.062438585709,"{""type"":""MultiPoint"",""coordinates"":[]}"
20171101,2017-11-01,9371.133527651959,"{""type"":""MultiPoint"",""coordinates"":[]}"
20171201,2017-12-01,9085.05308879392,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180101,2018-01-01,8666.614575451611,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180201,2018-02-01,7875.3782937309325,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180301,2018-03-01,7953.953467545322,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180401,2018-04-01,6588.054112263521,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180501,2018-05-01,6704.146382227602,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180601,2018-06-01,5779.132342240855,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180701,2018-07-01,3665.8494538248756,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180801,2018-08-01,3714.2434952530216,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180901,2018-09-01,4851.318653651078,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181001,2018-10-01,7267.784623950135,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181101,2018-11-01,8349.756608478232,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181201,2018-12-01,8524.248235237364,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190101,2019-01-01,7473.042788134834,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190201,2019-02-01,8842.843096956782,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190301,2019-03-01,7569.328497116237,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190401,2019-04-01,7705.104135675522,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190501,2019-05-01,7842.825416468637,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190601,2019-06-01,6763.150784728107,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190701,2019-07-01,4700.386676170309,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190801,2019-08-01,3928.5961575622646,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190901,2019-09-01,4586.5252994364355,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191001,2019-10-01,6560.119401291538,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191101,2019-11-01,8045.138448264084,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191201,2019-12-01,8445.505278791752,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101,2020-01-01,8442.684244514448,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200201,2020-02-01,7777.62984876843,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200301,2020-03-01,8069.638156962863,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200401,2020-04-01,7526.569724197249,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200501,2020-05-01,8013.402665592408,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200601,2020-06-01,5882.435846230096,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200701,2020-07-01,4733.723555317813,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200801,2020-08-01,2739.913331331575,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200901,2020-09-01,5531.8728623249945,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201001,2020-10-01,7853.721215332021,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201101,2020-11-01,6984.173736515699,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201201,2020-12-01,7799.881144198718,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210101,2021-01-01,7729.756769073826,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210201,2021-02-01,8539.449869826962,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210301,2021-03-01,7981.164037370682,"{""type"":""MultiPoint"",""coordinates"":[]}"
